"V1" "V2" "V3"
"1" 0.500000000000001 0.999999999999999 0
"2" 0.500000000000001 0 0.500000000000001
"3" 0 0.999999999999999 0.500000000000001
"4" 0.500000000000001 0.333333333333334 1
"5" 0.999999999999999 0.333333333333334 0
"6" 0.500000000000001 0 0.999999999999999
"7" 0.500000000000001 0.500000000000001 0.999999999999999
"8" 0.500000000000001 0.999999999999999 0
"9" 0.999999999999999 0.333333333333334 1
"10" 0.500000000000001 0.666666666666666 0
"11" 0.500000000000001 0.500000000000001 0.999999999999999
"12" 0.999999999999999 0.500000000000001 0.999999999999999
"13" 0.500000000000001 0.999999999999999 0
"14" 0.500000000000001 0.333333333333334 0
"15" 0.500000000000001 0.666666666666666 1
"16" 0.999999999999999 0 0
"17" 0.500000000000001 0 0
"18" 0 0.500000000000001 0.500000000000001
"19" 0.500000000000001 0.666666666666666 1
"20" 0.500000000000001 0 1
"21" 0 0.500000000000001 0.500000000000001
"22" 0.500000000000001 0.500000000000001 0.999999999999999
"23" 0.999999999999999 0.500000000000001 0
"24" 0.500000000000001 0.333333333333334 0
"25" 0.500000000000001 0.333333333333334 1
"26" 0.500000000000001 0.500000000000001 0.500000000000001
"27" 0.999999999999999 0.500000000000001 0
"28" 0.500000000000001 0.500000000000001 0.999999999999999
"29" 0.500000000000001 0.333333333333334 0
"30" 0.500000000000001 0 0
"31" 0.500000000000001 0.500000000000001 0
"32" 0.500000000000001 0.500000000000001 0.500000000000001
"33" 0.500000000000001 0.500000000000001 0.500000000000001
"34" 0 0.666666666666666 0
"35" 0.999999999999999 0.333333333333334 1
"36" 0.500000000000001 0.500000000000001 0.500000000000001
"37" 0.500000000000001 0.999999999999999 0
"38" 0.999999999999999 0.500000000000001 0
"39" 0 1 0
"40" 0.999999999999999 0.333333333333334 1
"41" 0 0 0.999999999999999
"42" 0.500000000000001 0.999999999999999 0
"43" 0.500000000000001 0.500000000000001 0
"44" 0.500000000000001 0.666666666666666 1
"45" 0.999999999999999 0.666666666666666 1
"46" 0.999999999999999 0.999999999999999 0
"47" 0.500000000000001 0.500000000000001 0.500000000000001
"48" 0.500000000000001 0.500000000000001 0
"49" 0.500000000000001 0.333333333333334 1
"50" 0 0 0
